problem,instance_id,algo_variant,budget,best,fitness_score
Ackley,5,ES_MULAMBDA,12000,0.13465117110782981,0.976504487646936
Ackley,5,ES_MULAMBDA,15000,0.042513012921088646,0.992590944785538
Ackley,5,ES_MULAMBDA,20000,0.009245173005698288,0.998399197212379
Ackley,5,FA,200,4.960964235110028,0.1338755511731604
Ackley,5,FA,300,4.505276944425265,0.21343427271119264
Ackley,5,FA,500,4.341155580438652,0.24208832157929194
Ackley,5,FA,800,3.8541392225862126,0.32711680402966825
Ackley,5,FA,1000,3.926744380952846,0.31444062522284766
Ackley,5,FA,1500,3.719694632331716,0.35058956690238097
Ackley,5,FA,2000,3.3964151038899604,0.4070311366104036
Ackley,5,FA,3500,3.293221025534282,0.4250478535829926
Ackley,5,FA,5000,3.119030270750908,0.45545992352131603
Ackley,5,FA,8000,3.0116049579222044,0.4742153742968507
Ackley,5,FA,12000,2.8626301132271377,0.500224983139476
Ackley,5,FA,15000,2.700868516869021,0.5284670387405086
Ackley,5,FA,20000,2.7469322416953252,0.5204247449759549
Ackley,5,GWO,200,1.9629354592341894,0.6573032205832281
Ackley,5,GWO,300,0.9115914473180992,0.8408580117625439
Ackley,5,GWO,500,0.26307876118517565,0.9540822364987633
Ackley,5,GWO,800,0.20535973999299148,0.9641594355524746
Ackley,5,GWO,1000,0.16620613843715776,0.9709952866878239
Ackley,5,GWO,1500,0.11944769219209937,0.9791588722878777
Ackley,5,GWO,2000,0.09963085940588495,0.9826187051900308
Ackley,5,GWO,3500,0.026175470837890704,0.9954433262053924
Ackley,5,GWO,5000,0.021664484423788394,0.9962309020700651
Ackley,5,GWO,8000,0.011435744799592277,0.9980167439490949
Ackley,5,GWO,12000,0.007866576095473752,0.9986398872863307
Ackley,5,GWO,15000,0.0057531750448763935,0.9990088672625551
Ackley,5,GWO,20000,0.004516967103529423,0.9992246975597331
Ackley,5,MFO,200,4.6975450329216075,0.17986607007305455
Ackley,5,MFO,300,3.973664200633918,0.30624886533634377
Ackley,5,MFO,500,3.037322566307188,0.4697253213900635
Ackley,5,MFO,800,2.513187381736176,0.5612344023980247
Ackley,5,MFO,1000,2.4715165440285474,0.5685097393258022
Ackley,5,MFO,1500,1.9163834117554441,0.6654307708969998
Ackley,5,MFO,2000,1.8204987597656683,0.6821713306698265
Ackley,5,MFO,3500,1.994889504701882,0.6517243443289494
Ackley,5,MFO,5000,1.77778950540174,0.689627965393895
Ackley,5,MFO,8000,1.5441902549330933,0.7304122007663598
Ackley,5,MFO,12000,1.8372454888071137,0.6792475090497871
Ackley,5,MFO,15000,1.633527701570858,0.7148147215623817
Ackley,5,MFO,20000,2.0951937106787457,0.6342121719345537
