domain,budget,target,algo_variant,n_instances,mean_metric,median_metric,std_metric,mean_p05,mean_p95,rank
cont,5000,0.001,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",23,0.17798913043478262,0.03125,0.3260465534093538,0.13595954875815403,0.2422145918024592,2
cont,5000,0.001,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",23,0.17391304347826086,0.03125,0.32582746592239137,0.13361520560320492,0.2357010127607173,3
cont,5000,0.001,"DE(pop=20,F=0.8,CR=0.9)",23,0.15489130434782608,0.03125,0.32235570085775445,0.12037110542226416,0.21220199886996888,4
cont,5000,0.001,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",23,0.05434782608695652,0.03125,0.06335872523371273,0.014954248015125909,0.12268818714120724,5
cont,5000,0.001,"DE(pop=40,F=0.8,CR=0.9)",23,0.03125,0.03125,0.0,0.0016817116842501696,0.09223859979231762,6
cont,5000,0.001,"ES_ML(mu=10,lam=40,sigma=0.3)",23,0.03125,0.03125,0.0,0.001712197187761087,0.09255101225504701,7
cont,5000,0.001,"ES_ML(mu=20,lam=80,sigma=0.2)",23,0.03125,0.03125,0.0,0.001651772513740052,0.09199959066104144,8
cont,5000,0.001,HC_CONT(sigma=0.2),23,0.03125,0.03125,0.0,0.0016299315124823131,0.09213463222886013,9
cont,5000,0.001,RS_CONT,23,0.03125,0.03125,0.0,0.0016514605212339828,0.09214683379666179,10
cont,5000,0.001,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",23,0.03125,0.03125,0.0,0.001706838702587913,0.09193695569990205,11
cont,5000,0.01,"DE(pop=20,F=0.8,CR=0.9)",20,0.25625,0.03125,0.3969196773443689,0.2125874860603379,0.31629884578418827,1
cont,5000,0.01,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",20,0.1265625,0.03125,0.2783060469278002,0.08951616939913101,0.18891205141557524,2
cont,5000,0.01,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",20,0.1234375,0.03125,0.27867516549172816,0.0878956440366169,0.18536823851090906,3
cont,5000,0.01,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",20,0.1203125,0.03125,0.2555460082559035,0.0797541077230979,0.18648656809632577,4
cont,5000,0.01,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",20,0.084375,0.03125,0.20879608693903398,0.049151930426060766,0.14813022241862722,5
cont,5000,0.01,"DE(pop=40,F=0.8,CR=0.9)",20,0.078125,0.03125,0.2096313728906053,0.04677580009451139,0.13781696729998605,6
cont,5000,0.01,"ES_ML(mu=10,lam=40,sigma=0.3)",20,0.0359375,0.03125,0.020963137289060532,0.004065677336824116,0.09975829140116163,7
cont,5000,0.01,"ES_ML(mu=20,lam=80,sigma=0.2)",20,0.0359375,0.03125,0.020963137289060532,0.00391917777016641,0.09854356014489017,8
