algo,rung,score,seconds,params_json,pop,fmax,A0,r0,local_step
BA,rung1,0.10509554883167355,1.3811261653900146,"{""A0"": 0.7859563036261537, ""fmax"": 1.1942476788092398, ""local_step"": 0.006211288708508076, ""pop"": 52, ""r0"": 0.4982862577780215}",52,1.1942476788092398,0.7859563036261537,0.4982862577780215,0.006211288708508076
BA,rung1,0.09011980216401233,1.3099560737609863,"{""A0"": 0.5336293746005915, ""fmax"": 3.468130471718888, ""local_step"": 0.024098367246821233, ""pop"": 49, ""r0"": 0.6800435268030502}",49,3.468130471718888,0.5336293746005915,0.6800435268030502,0.024098367246821233
BA,rung1,-0.056117027344621206,1.3944146633148193,"{""A0"": 0.46727184973966135, ""fmax"": 2.92892019571008, ""local_step"": 0.00043880257741718895, ""pop"": 43, ""r0"": 0.43534926398674456}",43,2.92892019571008,0.46727184973966135,0.43534926398674456,0.00043880257741718895
BA,rung1,0.7297441759810277,1.4494786262512207,"{""A0"": 0.8823227967987173, ""fmax"": 3.1446298806292847, ""local_step"": 0.03584748635824017, ""pop"": 73, ""r0"": 0.1579487165250149}",73,3.1446298806292847,0.8823227967987173,0.1579487165250149,0.03584748635824017
BA,rung1,-0.007984923098058316,1.5606250762939453,"{""A0"": 0.3297624545991324, ""fmax"": 2.8661391103487417, ""local_step"": 0.009093334498929826, ""pop"": 22, ""r0"": 0.1682479001020672}",22,2.8661391103487417,0.3297624545991324,0.1682479001020672,0.009093334498929826
BA,rung1,0.014889979357200711,1.5531625747680664,"{""A0"": 0.8154665400906502, ""fmax"": 1.3738766692571995, ""local_step"": 7.839676490982325e-05, ""pop"": 37, ""r0"": 0.23308228574231415}",37,1.3738766692571995,0.8154665400906502,0.23308228574231415,7.839676490982325e-05
BA,rung1,-0.11941010006683317,1.5644659996032715,"{""A0"": 0.41477316224130706, ""fmax"": 3.8488693276687345, ""local_step"": 8.02833729457172e-05, ""pop"": 33, ""r0"": 0.19492537621322964}",33,3.8488693276687345,0.41477316224130706,0.19492537621322964,8.02833729457172e-05
BA,rung1,-0.011288901950299801,1.2190165519714355,"{""A0"": 0.9313368222820662, ""fmax"": 2.7746631060126696, ""local_step"": 0.001972004560719466, ""pop"": 67, ""r0"": 0.6599391731218103}",67,2.7746631060126696,0.9313368222820662,0.6599391731218103,0.001972004560719466
BA,rung1,-0.07288418653979661,1.380997896194458,"{""A0"": 0.7889566248422563, ""fmax"": 4.431153695337777, ""local_step"": 0.00011699300845614346, ""pop"": 42, ""r0"": 0.4937728124238703}",42,4.431153695337777,0.7889566248422563,0.4937728124238703,0.00011699300845614346
BA,rung1,0.870824231564039,1.4919242858886719,"{""A0"": 0.7758396086079669, ""fmax"": 4.906879683232751, ""local_step"": 0.09323576035166016, ""pop"": 40, ""r0"": 0.2624675283484574}",40,4.906879683232751,0.7758396086079669,0.2624675283484574,0.09323576035166016
BA,rung1,0.05176390285306298,1.3938500881195068,"{""A0"": 0.7193664214040224, ""fmax"": 3.088736757934478, ""local_step"": 0.005562009416424027, ""pop"": 71, ""r0"": 0.413580926106332}",71,3.088736757934478,0.7193664214040224,0.413580926106332,0.005562009416424027
BA,rung1,-0.0766239555612227,1.332702875137329,"{""A0"": 0.8768716994386003, ""fmax"": 4.99038890259101, ""local_step"": 0.00028879788613620373, ""pop"": 35, ""r0"": 0.6285647651946386}",35,4.99038890259101,0.8768716994386003,0.6285647651946386,0.00028879788613620373
BA,rung1,-0.08756668640282511,1.3969058990478516,"{""A0"": 0.8768263160756975, ""fmax"": 1.8787392790812159, ""local_step"": 0.00011837539291954799, ""pop"": 30, ""r0"": 0.5562474894456787}",30,1.8787392790812159,0.8768263160756975,0.5562474894456787,0.00011837539291954799
BA,rung1,0.271949722762034,1.3264563083648682,"{""A0"": 0.8382160408204589, ""fmax"": 2.075867678811001, ""local_step"": 0.04478765116647186, ""pop"": 36, ""r0"": 0.6315791111097505}",36,2.075867678811001,0.8382160408204589,0.6315791111097505,0.04478765116647186
