domain,problem,instance_id,n,budget,algo,seed,final_best,improve_rel,auc_progress,p10_progress,p50_progress,p90_progress,stagnation_frac,div_mean,div_decay,step_mean,step_decay,step_burst
cont,rastrigin,rastrigin_d5_i000,5,2500,ES,2,25.787228229483233,0.0,0.0,0.0,0.0,0.0,1.0,0.1294962152878817,0.9999999999922777,1.3807484199435172,0.9999999999992757,0.0
cont,rastrigin,rastrigin_d5_i000,5,2500,GWO,0,13.775535556280168,0.0,0.0,0.0,0.0,0.0,1.0,0.018840722090670725,0.9999999999469236,0.066958620519733,0.9999999999850653,0.0
cont,rastrigin,rastrigin_d5_i000,5,2500,GWO,1,7.709400257100967,0.0,0.0,0.0,0.0,0.0,1.0,0.021117984272871825,0.9999999999526471,0.07848151535125482,0.9999999999872581,0.0
cont,rastrigin,rastrigin_d5_i000,5,2500,GWO,2,9.181035738202887,0.0,0.0,0.0,0.0,0.0,1.0,0.02434131987571443,0.9999999999589176,0.0918136993509281,0.9999999999891083,0.0
cont,rastrigin,rastrigin_d5_i000,5,2500,WOA,0,10.1452485275232,0.0,0.0,0.0,0.0,0.0,1.0,0.025911491930808633,0.9999999999614071,0.07811376692244343,0.9999999999871981,0.0
cont,rastrigin,rastrigin_d5_i000,5,2500,WOA,1,7.076941423323582,0.0,0.0,0.0,0.0,0.0,1.0,0.03787969678477285,0.9999999999736007,0.12423540068977021,0.9999999999919508,0.0
cont,rastrigin,rastrigin_d5_i000,5,2500,WOA,2,7.156475207443677,0.0,0.0,0.0,0.0,0.0,1.0,0.03485152622054543,0.9999999999713068,0.1053559621767847,0.9999999999905083,0.0
cont,rastrigin,rastrigin_d5_i000,5,2500,SA,0,12.985709169344148,0.24516599907146944,0.4263643942819501,0.0,0.0,0.9999999999997798,0.9591836734693877,0.0,0.0,0.3663168128209,0.0,0.4492195861638991
cont,rastrigin,rastrigin_d5_i000,5,2500,SA,1,7.788266966211928,0.7469135501123063,0.8931853129396813,0.7920827555836937,0.9999999999999615,0.9999999999999615,0.9387755102040817,0.0,0.0,0.3519901462444697,0.0,0.31303292086708695
cont,rastrigin,rastrigin_d5_i000,5,2500,SA,2,14.431441760409761,0.3308799655521458,0.6622362145767757,0.0,0.633396687542588,0.999999999999869,0.9387755102040817,0.0,0.0,0.34512184159332954,0.0,0.4056887123841141
cont,rastrigin,rastrigin_d5_i000,5,2500,HC,0,13.35743790717909,0.5035849597604344,0.7145055392616683,0.0,0.9999999999999314,0.9999999999999314,0.9591836734693877,0.0,0.0,0.4162217401304719,0.0,0.37373155284774084
cont,rastrigin,rastrigin_d5_i000,5,2500,HC,1,17.535282968566015,0.5926842378141861,0.9318945714029845,0.8785869192158322,0.999999999999963,0.999999999999963,0.9387755102040817,0.0,0.0,0.3940525379499591,0.0,0.42811402193130216
cont,rastrigin,rastrigin_d5_i000,5,2500,HC,2,20.52974627547502,0.10288972554477796,0.7857142857139676,0.0,0.999999999999595,0.999999999999595,0.9795918367346939,0.0,0.0,0.40647838581954476,0.0,0.3781060004974564
cont,rastrigin,rastrigin_d5_i001,5,2500,PSO,0,6.170316100318615,0.0,0.0,0.0,0.0,0.0,1.0,0.04794938403123627,0.9999999999791447,0.08751446653554698,0.9999999999885733,0.0
cont,rastrigin,rastrigin_d5_i001,5,2500,PSO,1,10.272630718322276,0.0,0.0,0.0,0.0,0.0,1.0,0.07641032647646481,0.9999999999869127,0.16436488337627309,0.999999999993916,0.0
cont,rastrigin,rastrigin_d5_i001,5,2500,PSO,2,3.322661964903091,0.0,0.0,0.0,0.0,0.0,1.0,0.053850835496582046,0.9999999999814302,0.08650109570451742,0.9999999999884394,0.0
cont,rastrigin,rastrigin_d5_i001,5,2500,DE,0,15.57175003941667,0.0,0.0,0.0,0.0,0.0,1.0,0.14137186468117063,0.9505106599567059,0.3275189186214727,0.0,0.7075367080484937
cont,rastrigin,rastrigin_d5_i001,5,2500,DE,1,13.70421310333213,0.0,0.0,0.0,0.0,0.0,1.0,0.12275361772287556,1.0177901939127827,0.3127440978838316,0.0,0.7075076467506713
cont,rastrigin,rastrigin_d5_i001,5,2500,DE,2,4.982301288977794,0.3275609692684996,0.7499999999997427,0.0,0.9999999999996568,0.9999999999996568,0.5,0.14025216656424253,0.945568856992607,0.3250554821752751,0.0,0.71700234276114
cont,rastrigin,rastrigin_d5_i001,5,2500,ES,0,13.976604686494717,0.0,0.0,0.0,0.0,0.0,1.0,0.11581796146269428,0.9999999999913657,1.2059853778910647,0.9999999999991708,0.0
cont,rastrigin,rastrigin_d5_i001,5,2500,ES,1,13.221373256264165,0.0,0.0,0.0,0.0,0.0,1.0,0.09857556326533853,0.9999999999898554,0.9180103380379458,0.9999999999989108,0.0
cont,rastrigin,rastrigin_d5_i001,5,2500,ES,2,17.786974675456015,0.0,0.0,0.0,0.0,0.0,1.0,0.12338195715137124,0.999999999991895,0.3586470859147592,0.9999999999972118,0.0
cont,rastrigin,rastrigin_d5_i001,5,2500,GWO,0,4.960700889917078,0.0,0.0,0.0,0.0,0.0,1.0,0.017249033580525736,0.9999999999420258,0.056022728968079895,0.9999999999821502,0.0
cont,rastrigin,rastrigin_d5_i001,5,2500,GWO,1,6.945804378818963,0.0,0.0,0.0,0.0,0.0,1.0,0.013287533049932607,0.9999999999247414,0.05522099979323202,0.9999999999818909,0.0
cont,rastrigin,rastrigin_d5_i001,5,2500,GWO,2,4.979544309362737,0.0,0.0,0.0,0.0,0.0,1.0,0.0168812976957935,0.9999999999407629,0.06033461193680191,0.9999999999834258,0.0
cont,rastrigin,rastrigin_d5_i001,5,2500,WOA,0,4.113907897655167,0.0,0.0,0.0,0.0,0.0,1.0,0.036071558288172094,0.9999999999722774,0.09905719296775943,0.9999999999899047,0.0
cont,rastrigin,rastrigin_d5_i001,5,2500,WOA,1,7.289891278661706,0.0,0.0,0.0,0.0,0.0,1.0,0.026184502095222634,0.9999999999618095,0.07159508192234179,0.9999999999860325,0.0
cont,rastrigin,rastrigin_d5_i001,5,2500,WOA,2,10.588802982161468,0.0,0.0,0.0,0.0,0.0,1.0,0.024060107751916596,0.9999999999584375,0.06674301417886866,0.9999999999850171,0.0
cont,rastrigin,rastrigin_d5_i001,5,2500,SA,0,15.511295193045669,0.4091829180184895,0.5723951581283167,0.0,0.657611363993476,0.9999999999999125,0.9183673469387755,0.0,0.0,0.3563331733750676,0.0,0.3283884142991349
cont,rastrigin,rastrigin_d5_i001,5,2500,SA,1,6.218022718584152,0.8203199459371785,0.6925285259849756,0.5408297799791508,0.5408297799791508,0.9999999999999696,0.9183673469387755,0.0,0.0,0.36887542192124456,0.0,0.3532981877987407
cont,rastrigin,rastrigin_d5_i001,5,2500,SA,2,7.809100847763396,0.759893950952464,0.7157972125868245,0.4780586480166629,0.6209702070370241,0.9999999999999641,0.8775510204081632,0.0,0.0,0.3968414635034591,0.0,0.36810806928340306
